,Region,District,Market,latitude,longitude
0,Awdal,Borama,Borama,3.03479,43.63932
1,Awdal,Lughaye,Garbodadar,10.682525,43.943153
2,Awdal,Zeylac,Zeylac,11.35215,43.473756
3,Bakool,Ceel Barde,Ceel Barde,4.82821,43.659931
4,Bakool,Tayeeglow,Ceel Garas,2.37959,42.591648
5,Bakool,Waajid,Burdunle,3.80925,43.247089
6,Bakool,Waajid,Waajid,3.80925,43.247089
7,Bakool,Xudur,Garas Weyne,3.51165,45.51893
8,Bakool,Xudur,Xudur,4.12303,43.890121
9,Banaadir,Banadir,Huriwaa ,2.0469,45.3182
10,Banaadir,Banadir,Maanopoliyo,2.0469,45.3182
11,Banaadir,Banadir,Mogadishu Bakara,2.0469,45.3182
12,Banaadir,Banadir,Suuq Bacaad,2.0469,45.3182
13,Banaadir,Banadir,Suuq Boocle,2.0469,45.3182
14,Banaadir,Banadir,Banadir,2.0469,45.3182
15,Bari,Bandarbeyla,Bandarbeyla,9.49563,50.81277
16,Bari,Bossaso,Bosasso,11.28366,49.18063
17,Bari,Bossaso,Kalabayr,7.974998,48.105657
18,Bari,Caluula,Caluula,11.96039,50.75858
19,Bari,Iskushuban,Iskushuban,10.28178,50.23009
20,Bari,Iskushuban,Rako,9.78144,49.72944
21,Bay,Baidoa,Baidoa,3.11718,43.6469
23,Bay,Buur Hakaba,Burhakaba,2.794785,44.0784549
24,Bay,Diinsoor,Diinsoor,2.40735,42.976551
25,Bay,Diinsoor,Habaalbalbaar,2.40735,42.976551
26,Bay,Diinsoor,Habibayaal,2.35433,42.66579
27,Bay,Qansax Dheere,Qansax Dheere,2.87123,43.004341
28,Galgaduud,Cabudwaaq,Cabudwaaq,6.24178,46.3072
29,Galgaduud,Cabudwaaq,Dhabad,6.30619,46.54925
30,Galgaduud,Ceel Buur,El Bur,3.7529,43.081799
31,Galgaduud,Ceel Dheer,El Der,3.7529,43.081799
32,Galgaduud,Ceel Dheer,Oswein,4.12506,46.93595
33,Galgaduud,Dhuusamarreeb,Dhuusamareeb,5.537643,46.386698
34,Galgaduud,Dhuusamarreeb,Gadon,5.68118,46.683252
35,Gedo,Baardheere,Baardheere,2.339935,42.285981
36,Gedo,Belet Xaawo,Ara Ase,3.78074,41.89431
37,Gedo,Belet Xaawo,Belet Xaawo,3.78074,41.89431
38,Gedo,Ceel Waaq,CeelWaaq,2.78767,40.998291
39,Gedo,Doolow,Doolow,4.16358,42.07617
40,Gedo,Doolow,Geedweyne,4.0302,42.29415
41,Gedo,Garbahaarey,Buur Dhuubo,3.16853,42.49469
42,Gedo,Garbahaarey,Ceel Cadde,3.03594,41.86737
43,Gedo,Luuq,El Bon,3.72838,42.91011
44,Gedo,Luuq,Luuq,3.79999,42.54459
45,Hiraan,Belet Weyne,Beledweyne,4.735984,45.204268
46,Hiraan,Bulo Burto,Bulo Burto,3.851941,45.565115
47,Hiraan,Bulo Burto,Halgen,2.72445,45.48975
48,Hiraan,Jalalaqsi,Jalalaqsi,3.38342,45.59693
54,Lower Juba,Jamaame,Jamaame,0.06916,42.738201
55,Lower Juba,Kismayo,Kismayo,-0.36029,42.546261
56,Lower Shabelle,Afgooye,Daresalam,7.11742,47.15284
57,Lower Shabelle,Afgooye,Tortoroow,2.25045,44.69117
