AltName,Name
Mogadishu,Banadir
Tieglo,Tayeeglow
Hudur,Xudur
WanlaWeyne,Wanla Weyn
Bondhere,Banadir
Bardera,Baardheere
Garbahare,Garbahaare
Afgoye,Afgooye
Galkayo,Gaalkacyo
Brava,Baraawe
BurHakaba,Buur Hakaba
RabDhure,Rab Dhuure
BuloBurti,Bulo Burto
ElBur,Ceel Buur
Badhadhe,Badhaadhe
BeletWeyne,Belet Weyne
BeletHawa,Belet Xaawo
QansahDere,QansaxDheere
Qoryoley,Qoryooley
Adado,Cadaado
Dolo,Doolow
Balad,Balcad
Dinsor,Diinsoor
Jamame,Jamaame
Baydhaba,Baidoa
KutumWarey,Kurtunwaarey
Buale,Bu'aale
Harardhere,Xarardheere
BanderBeila,Bandarbeyla
AdanYabal,Adan Yabaal
Jariban,Jariiban
ElDer,Ceel Dheer
ElWaq,Ceel Waaq
Buhodle,Buuhoodle
LasQoray,Laasqoray
LasAnod,Laas Caanood
Erigabo,Ceerigaabo
Kandala,Qandala
ElAfwein,Ceel Afweyn
Sablaledisctrict,Sablaale
Burao,Burco
Kismaayo,Kismayo
Abdiaziz,Banadir
Daynile,Banadir
Dharkenley,Banadir
Hamar Weyne,Banadir
Hamar Jabjab,Banadir
Hawl Wadaag,Banadir
Heliwa,Banadir
Hodan,Banadir
Karan,Banadir
Kaxda,Banadir
Mogadishu City,Banadir
Shangaani,Banadir
Shibis,Banadir
Waaberi,Banadir
Wadajir,Banadir
Wardhigley,Banadir
Yaqshid,Banadir
Bulo_burto,Bulo Burto
Ceel_waaq,Ceel Waaq
Rab_dhuure,Rab Dhuure
Ceel_barde,Ceel Barde
Qansax_dheere,Qansax Dheere
Belet_weyne,Belet Weyne
Ceel_dheer,Ceel Dheer
Ceel_buur,Ceel Buur
Ceel_afweyn,Ceel Afweyn
Adan_yabaal,Adan Yabaal
Wanla_weyn,Wanla Weyn
Buur_hakaba,Buur Hakaba
Belet_xaawo,Belet Xaawo
Laas_caanood,Laas Caanood
Beletweyne,BeletWeyne
Dinsoor,Diinsoor
Buloburto,BuloBurto
Garowe,Garoowe
Marka (Shabelle Hoose),Marka
Lasanod,LaasCaanood
Afgoi,Afgooye
Beled Weyn,BeletWeyne
Borao,Burco
Dhusamareb,Dhuusamarreeb
El Barde,Ceel Barde
El Dhere,Ceel Dheer
Elwak,CeelWaaq
Hara Dhere,Xarardheere
Hargeisa,Hargeysa
Lugh,Luuq
Qansah Dere,Qansax Dheere
Wanle Weyne,Wanla Weyn
Zeilac/Lawayacado,Zeylac
CeerigaaboDistrict,Ceerigaabo
GaldogobDistrict,Galdogob
ElBarde,CeelBarde
Garbahaare,Garbahaarey
Hudun,Xudun
Gardo,Qardho
Odweine,Owdweyne
Alula,Caluula
Abudwaq,Cabudwaaq
Harardere,Xarardheere
Adanyabal,AdanYabaal
Abudwak,Cabudwaaq
Erigavo,Ceerigaabo
Merka,Marka
Beletwein,Beledweyne
"Mogadishu, Bakara",Banadir
Beled Hawa,Belet Xaawo
Caabudwaaq,Cabudwaaq
Garoowee,Garoowe
Qorioley,Qoryooley
Togwajale,Gebiley
Doblei,Doolow
Garooowee,Garoowe
'Garoowe',Garoowe
Badhan(PL),Badhan
Dhahar(PL),Dhahar
Laasqoray(PL),Laasqoray
Lasqoray(SL),Laasqoray
Boondheere,Banadir
Bardaale,Gebiley
Aw Dheegle,Banadir
Cabdulcasiis,Banadir
Dayniile,Banadir
Goldogob,Galdogob
Haliwaa,Banadir
Kaaraan,Banadir
Odweyne,Owdweyne
Wardhiigley,Banadir
Xamar Jabjab,Banadir
Xamar Weyne,Banadir
Yaaqshiid,Banadir
Marka(ShabelleHoose),Marka
BeledHawa,BeletXaawo
BeledWeyn,BeletWeyne
ElDhere,CeelDheer
HaraDhere,Xarardheere
WanleWeyne,WanlaWeyn
AdanYabaal,Adan Yabaal
Lasqoray,Laasqoray
CeelWaaq,Ceel Waaq
Gedwaine,Geedweyne
LaasCaanood,Laas Caanood
Ceel Dheere,Ceel Dheer
Ceel Bur,Ceel Buur
Garbaharey,Garbahaarey
Harardheere,Xarardheere
Belet Hawa,Belet Xaawo
Belet Xaawa,Belet Xaawo
Dhusa Marreeb,Dhuusamarreeb
Wanla Weyne,Wanla Weyn
Bossaasso,Bossaso
Bulo Burti,Bulo Burto
Bu'Aale,Bu'aale
Ceel Afweyne,Ceel Afweyn
Diinsor,Diinsoor
Tayeglow,Tayeeglow
Adan Yabal,Adan Yabaal
Bandar Beyla,Bandarbeyla
Bendar Beyla,Bandarbeyla
Wajid,Waajid
Boroma,Borama
Brawa,Baraawe
Dusamared,Dhuusamareeb
