NAME,ALT_NAME1,ALT_NAME2,SOURCE,DEFINITION,REG_NAME,DIST_NAME,RELIABILIT,X_COORD,Y_COORD,P_CODE,CODE,FID_1,FID_Somali,NAME_1,ALT_NAME_1,ALT_NAME_2,SOURCE_1,DEFINITI_1,REG_NAME_1,DIST_NAM_1,RELIABIL_1,X_COORD_1,Y_COORD_1,P_CODE_1,CODE_1,FID_som_ad,admin2Name,admin2Pcod,admin2RefN,admin2AltN,admin2Al_1,admin1Name,admin1Pcod,admin0Name,admin0Pcod
22 Village,Zzaad,Labayo Labaatanaa,"KEMRI - 2007, UNDP - 2006",Settlement,Nugaal,Garowe,Verified,48.65071000000,8.47760000000,NC-3913-N15-001,N15-001,"7641","0",22 Village,Zzaad,Labayo Labaatanaa,"KEMRI - 2007, UNDP - 2006",Settlement,Nugaal,Garowe,Verified,48.65071000000,8.47760000000,NC-3913-N15-001,N15-001,"26",Garoowe,SO1701,Garoowe,Garowe,,Nugaal,SO17,Somalia,SO
26 June/Almis,,,GTZ - 2002,Part of town,Woqooyi Galbeed,Hargeysa,Verified,44.06305000000,9.57015800000,NC-3810-L13-014,L13-014,"8299","1",26 June/Almis,,,GTZ - 2002,Part of town,Woqooyi Galbeed,Hargeysa,Verified,44.06305000000,9.57015800000,NC-3810-L13-014,L13-014,"6",Hargeysa,SO1201,Hargeysa,Hargeisa,,Woqooyi Galbeed,SO12,Somalia,SO
26 June/Cayncal,,,GTZ - 2002,Part of town,Woqooyi Galbeed,Hargeysa,Verified,44.06091500000,9.58114900000,NC-3810-L13-015,L13-015,"8309","2",26 June/Cayncal,,,GTZ - 2002,Part of town,Woqooyi Galbeed,Hargeysa,Verified,44.06091500000,9.58114900000,NC-3810-L13-015,L13-015,"6",Hargeysa,SO1201,Hargeysa,Hargeisa,,Woqooyi Galbeed,SO12,Somalia,SO
26 June/Durfa,,,GTZ - 2002,Part of town,Woqooyi Galbeed,Hargeysa,Verified,44.06389400000,9.56140600000,NC-3810-L13-008,L13-008,"8280","3",26 June/Durfa,,,GTZ - 2002,Part of town,Woqooyi Galbeed,Hargeysa,Verified,44.06389400000,9.56140600000,NC-3810-L13-008,L13-008,"6",Hargeysa,SO1201,Hargeysa,Hargeisa,,Woqooyi Galbeed,SO12,Somalia,SO
26 June/Qol Jamo,,,GTZ - 2002,Part of town,Woqooyi Galbeed,Hargeysa,Verified,44.05752800000,9.56699600000,NC-3810-L13-018,L13-018,"8291","4",26 June/Qol Jamo,,,GTZ - 2002,Part of town,Woqooyi Galbeed,Hargeysa,Verified,44.05752800000,9.56699600000,NC-3810-L13-018,L13-018,"6",Hargeysa,SO1201,Hargeysa,Hargeisa,,Woqooyi Galbeed,SO12,Somalia,SO
A/Taraman Mayow,,,UNDP - 2006,Settlement,Lower Shabelle,Wanla Weyn,Verified,44.86136000000,2.41415000000,NA-3806-Q30-016,Q30-016,"2377","5",A/Taraman Mayow,,,UNDP - 2006,Settlement,Lower Shabelle,Wanla Weyn,Verified,44.86136000000,2.41415000000,NA-3806-Q30-016,Q30-016,"52",Wanla Weyn,SO2307,Wanla Weyn,Wanla Weyne,,Lower Shabelle,SO23,Somalia,SO
Aabaan Weyn,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,44.01572000000,2.64585000000,NA-3806-J12-003,J12-003,"3075","6",Aabaan Weyn,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,44.01572000000,2.64585000000,NA-3806-J12-003,J12-003,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Aabaan Yare,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,44.03844800000,2.62840000000,NA-3806-J12-002,J12-002,"3031","7",Aabaan Yare,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,44.03844800000,2.62840000000,NA-3806-J12-002,J12-002,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Aabaraka,Aabarak,,"UNDP - 2006, UNDP - 1997",Settlement,Bay,Baidoa,Verified,43.48935000000,3.06661000000,NA-3801-Y33-006,Y33-006,"4477","8",Aabaraka,Aabarak,,"UNDP - 2006, UNDP - 1997",Settlement,Bay,Baidoa,Verified,43.48935000000,3.06661000000,NA-3801-Y33-006,Y33-006,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Aabdille-Eenow,,,UNDP - 2006,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.03152000000,2.55827000000,NA-3807-L01-008,L01-008,"2820","9",Aabdille-Eenow,,,UNDP - 2006,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.03152000000,2.55827000000,NA-3807-L01-008,L01-008,"52",Wanla Weyn,SO2307,Wanla Weyn,Wanla Weyne,,Lower Shabelle,SO23,Somalia,SO
